"","account_active_days","koen","permission_given_order","previous_subscriptions","previous_campaigns","previous_trials","newsletters_before_order","newsletters_after_order","age","aktivitet_midt_10","aktivitet_slut_10","aktivitet_start_10","avg_scroll_depth","forskellige_artikler","restricted_share","andet","debat","erhverv","indland","international","kultur","livsstil","politik","sport","udland","churn_binary"
"927",61,"Mand","FALSE",0,0,0,0,0,47,15,0,7,0.431818181818182,6,0.409090909090909,6,0,6,10,0,0,0,0,0,0,"No"
"928",122,"Mand","FALSE",0,0,0,0,0,52,61,32,76,0.322485207100592,71,0.402366863905325,87,12,25,17,20,2,0,5,0,1,"Yes"
"929",1602,"Mand","TRUE",113,2,111,0,0,38,187,123,273,0.25124584717608,197,0.242524916943522,390,14,43,38,87,8,6,14,2,0,"No"
"930",376,"Mand","FALSE",0,0,0,0,0,50,0,6,20,0.644230769230769,14,0.384615384615385,7,2,2,2,12,0,0,1,0,0,"Yes"
"931",365,"Kvinde","FALSE",0,0,0,0,0,48,0,30,1,0.297619047619048,20,0.261904761904762,25,2,2,6,4,0,1,1,1,0,"Yes"
"932",579,"Mand","FALSE",3,2,1,0,0,75,260,278,344,0.264238773274918,307,0.234392113910186,599,41,35,78,88,16,6,19,31,0,"Yes"
"933",492,"Mand","FALSE",11,6,7,1,0,69,64,62,96,0.464285714285714,126,0.363636363636364,117,8,37,27,26,1,2,13,0,0,"Yes"
"934",506,"Mand","FALSE",7,3,4,0,0,49,258,212,328,0.248502994011976,294,0.237125748502994,565,33,42,54,77,33,16,11,3,1,"Yes"
"935",312,"Mand","TRUE",2,1,1,0,0,67,132,115,92,0.398093841642229,183,0.331378299120235,151,19,41,31,75,8,8,6,2,0,"No"
"936",479,"Mand","FALSE",5,2,2,0,0,44,0,0,18,0.513888888888889,11,0.444444444444444,8,0,3,6,0,0,0,0,0,1,"No"
"937",390,"Mand","FALSE",3,3,0,0,0,50,207,202,245,0.339837997054492,234,0.229749631811487,474,22,28,34,87,21,6,4,3,0,"Yes"
"938",225,"Kvinde","FALSE",2,1,0,0,0,47,64,57,43,0.381428571428571,78,0.285714285714286,108,11,5,25,12,5,4,5,0,0,"No"
"939",918,"Mand","FALSE",1,1,0,0,0,58,75,91,30,0.276119402985075,78,0.228855721393035,133,4,15,13,18,3,7,4,4,0,"Yes"
"940",122,"Kvinde","FALSE",0,0,0,0,0,30,0,0,4,0.375,1,0.25,4,0,0,0,0,0,0,0,0,0,"Yes"
"941",606,"Mand","TRUE",3,3,1,4,4,82,89,95,88,0.305555555555556,96,0.189964157706093,198,5,13,11,32,1,7,7,5,0,"Yes"
"942",153,"Kvinde","FALSE",0,0,0,0,0,19,0,0,5,0.6,1,0.4,0,0,0,0,0,0,0,5,0,0,"Yes"
"943",467,"Mand","FALSE",1,1,0,0,0,59,65,66,119,0.282352941176471,99,0.231372549019608,174,6,15,16,26,4,2,10,2,0,"Yes"
"944",337,"Mand","FALSE",0,0,0,0,0,82,160,116,143,0.181980906921241,173,0.238663484486873,261,15,13,48,50,10,9,13,0,0,"Yes"
"945",243,"Kvinde","FALSE",2,1,0,0,0,28,9,4,21,0.552631578947368,22,0.368421052631579,6,3,5,19,2,2,0,1,0,0,"No"
